"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Jamaica","JAM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","7","10","18","21","27","15","37","37","147","259","350","489","660","766","826","909","1057","1250","1407","","",
"Jordan","JOR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","112","183","242","443","513","708","719","899","466","919","775","1293","1162","1170","1789","1603","1787","1890","2129","2254","2250","2368","","",
"Japan","JPN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","3","2","2","3","2","5","5","19","19","21","13","168","521","185","150","152","176","172","","",
"Kazakhstan","KAZ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","27","139","40163","40774","20459","8440","2537","2803","6315","6559","6121","4316","7377","5235","4825","3744","3632","3500","3571","","",
"Kenya","KEN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","33","63","85","8774","9327","9390","9570","6046","5433","2373","2559","3087","3163","3847","4640","5357","7546","9688","9620","8602","8745","8950","","",
"Kyrgyz Republic","KGZ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","14","22","17118","16320","7449","3950","748","685","2950","3141","3284","3122","2488","2254","2517","2612","2744","3162","3489","","",
"Cambodia","KHM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54364","43168","28851","9753","8538","61225","62244","103246","76576","38326","36855","34759","33456","31407","18121","17806","17965","17704","17253","17025","16314","15205","14024","","",
"Kiribati","KIR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","16","32","33","41","38","38","33","33","33","33","","",
"St. Kitts and Nevis","KNA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","31","2","2","4","4","7","9","12","","",
"Korea, Rep.","KOR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","7","17","30","42","48","65","31","73","83","245","237","272","268","1334","1188","1104","573","585","514","558","","",
"Kosovo","","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","47","74","89","756","762","854","825","830","555","692","701","712","616","398","381","617","746","854","938","988","1120","1197","","",
"Latin America & Caribbean (developing only)","LAC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155364","160013","157851","141105","152256","141146","136499","130699","118899","102972","82444","84247","93174","89441","94677","116511","162636","623491","445447","460992","468993","482111","489295","","",
"Lao PDR","LAO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135633","122326","96157","74501","54896","58193","46909","37367","29017","21231","16094","12631","11235","10363","16114","24442","26447","10013","8598","8398","8414","8088","7984","","",
"Lebanon","LBN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6993","8501","10257","10635","15654","13515","10890","10235","9786","5196","10215","8763","26292","24932","19865","18323","12252","13094","12967","16260","15869","15013","15106","","",
"Liberia","LBR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","735689","673435","520915","704051","797835","744637","784008","493340","365398","293073","266930","244608","275438","353344","335441","231139","160548","91540","75213","71599","70129","66780","23428","","",
"Libya","LBY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","581","840","686","597","672","624","281","274","433","290","619","888","1455","1570","1720","1575","1573","1954","2084","2202","2309","4384","5251","","",
"St. Lucia","LCA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","5","4","11","9","10","16","34","99","163","227","288","314","334","433","566","","",
"Latin America & Caribbean (all income levels)","LCN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170755","174622","172324","156535","168121","155710","149535","140589","126018","104456","83389","85154","94996","91109","96010","117676","163822","624949","446951","462809","470691","484067","491274","","",
"Least developed countries: UN classification","LDC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12258482","11676870","10465906","10198870","9888779","8741568","7448024","6621596","6404487","6529060","7739085","7613469","6279748","5641185","5840499","5491269","5435772","6075461","5704660","5994105","6276848","6329840","6458616","","",
"Low income","LIC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11065081","10862155","9688921","9299127","8996592","7834210","6565594","5830789","5537111","5413947","6580620","6473801","5209216","4618644","4787553","4478643","4376145","5217061","4963660","5362230","5648067","5609308","5710345","","",
"Liechtenstein","LIE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","0","0","0","","",
"Sri Lanka","LKA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208271","209349","128115","91845","114456","107589","109578","122287","114976","96279","124160","122420","132999","122010","114053","108139","116966","134952","137752","145721","141074","136617","132731","","",
"Lower middle income","LMC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644758","1353585","1619886","1684594","1799111","1798361","1953875","1787707","1720526","1868531","1618169","1777745","2018842","1948542","2043492","2022506","2007451","1754412","1672943","1383449","1405175","1609351","2411054","","",
"Low & middle income","LMY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14439987","14142964","13995401","13355608","13276502","11925841","11107536","10055824","9569063","9408692","10253477","10332733","9370302","8414409","8430832","7904869","9223981","10834291","9932636","9856655","10040922","9921443","10022682","","",
"Lesotho","LSO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","","55","","","2","3","3","1","4","1","4","6","7","6","8","7","8","10","11","11","13","","",
"Lithuania","LTU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","8","11","63","109","662","649","282","243","163","216","1371","1541","1482","1448","942","466","490","501","515","528","491","","",
"Luxembourg","LUX","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","6","1","2","2","0","0","0","0","0","","",
"Latvia","LVA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","93","160","1958","1915","1013","829","491","619","3082","3177","2826","2430","1424","662","763","791","713","709","662","","",
"Macao SAR, China","MAC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","6","8","15","15","20","9","9","9","9","9","10","10","1","","",
"St. Martin (French part)","MAF","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","44","91","105","180","301","297","310","353","231","392","363","1268","1291","1318","2920","4710","4039","3533","2286","2284","2312","2407","","",
"Monaco","MCO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","1","","","0","0","","1","2","4","4","","",
"Moldova","MDA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","458","529","5829","5141","2754","2159","2657","3737","10130","11146","11938","12064","11680","4918","5555","5925","6200","6264","6148","","",
"Madagascar","MDG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","79","79","76","66","50","54","40","53","88","135","203","260","284","277","274","270","289","301","","",
"Maldives","MDV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","2","1","4","3","3","1","3","13","16","17","16","16","19","21","24","","",
"Middle East & North Africa (all income levels)","MEA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1228229","1530356","1584149","985856","1019356","950070","945300","916343","878737","793676","761648","1005898","1062787","915116","845334","776961","1943224","2779179","2372429","2017484","1908927","1661705","1696515","","",
"Mexico","MEX","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248","361","520","665","1016","455","1291","1594","1670","1652","1744","2313","3304","5572","6162","6435","6816","7472","8435","","",
"Marshall Islands","MHL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","",
"Middle income","MIC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3374906","3280809","4306480","4056481","4279910","4091631","4541942","4225035","4031952","3994745","3672857","3858932","4161086","3795765","3643279","3426226","4847836","5617230","4968976","4494425","4392855","4312135","4312337","","",
"Macedonia, FYR","MKD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1897","347","12883","13041","12747","1939","3760","2176","12197","8072","5982","5104","8600","7940","8077","7521","7926","7889","7684","7589","","",
"Mali","MLI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","14704","71189","98572","172905","77219","55198","18015","3702","326","364","311","531","461","483","520","594","4494","1758","2926","3663","4295","149943","","",
"Malta","MLT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","7","13","18","14","17","4","16","7","8","7","3","5","28","9","9","9","6","6","6","","",
"Myanmar","MMR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","40053","245130","281574","204510","152298","143017","135772","133407","131168","137128","145856","148497","151384","161013","164864","202826","191313","184413","406669","415670","414626","415371","","",
"Middle East & North Africa (developing only)","MNA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1228129","1530228","1583981","985582","1017396","947987","942969","914044","876555","792876","760330","1004723","1061184","913536","843898","775698","1940663","2775644","2368897","2013969","1905279","1657643","1692084","","",
"Montenegro","MNE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","557","1283","2582","3246","3698","4054","","",
"Mongolia","MNG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","4","4","7","9","19","11","23","60","280","324","442","654","867","1101","1333","1495","1724","1985","2114","","",
"Northern Mariana Islands","MNP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1247992","1316636","1445474","1172550","234497","125562","34657","33652","59","14","30","46","129","111","104","104","231","222","208","136","131","155","160","","",
"Mauritania","MRT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65999","79881","79594","67894","68043","84312","83234","70294","70224","29744","29752","29862","30135","30525","31131","31651","33428","33108","45601","39143","37733","39929","33765","","",
"Mauritius","MUS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","13","13","3","15","6","35","35","43","61","19","27","80","71","24","23","28","42","62","","",
"Malawi","MWI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","50","50","44","60","37","39","34","28","11","33","25","48","59","94","101","113","97","106","130","171","222","277","","",
"Malaysia","MYS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","82","79","103","87","90","33","82","79","129","239","292","394","584","615","608","532","552","537","531","","",
"North America","NAC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","12","14","16","370","249","151","86","67","17","203","224","435","455","507","807","1451","2704","2238","2467","3116","3887","4579","","",
"Namibia","NAM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532","204","15","133","65","13","12","2","1902","701","2308","2297","1302","1293","1314","1226","1202","1128","985","921","1017","1073","1098","","",
"New Caledonia","NCL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","22008","22307","22024","10291","10361","2788","423","494","493","483","834","728","689","655","818","827","796","822","803","819","832","","",
"Nigeria","NGA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","23","76","100","592","1939","4754","3059","3999","3054","5742","6084","24568","24428","23897","22128","13253","13904","14169","15609","15642","17141","18021","","",
"Nicaragua","NIC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52618","46789","44275","33052","28591","23938","22820","22494","21389","20309","5071","4399","4048","3983","1821","1463","1828","1900","1537","1478","1431","1468","1531","","",
"Netherlands","NLD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","85","96","77","57","5","152","4","256","271","48","159","39","43","46","44","53","64","71","","",
"High income: nonOECD","NOC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118678","156342","383060","395551","329889","454883","488403","551918","514074","373973","377719","337722","372657","333063","329411","227513","258186","197822","204405","190400","182344","177538","178605","","",
"Norway","NOR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","3","4","2","4","3","5","6","5","15","4","3","4","4","7","7","9","","",
"Nepal","NPL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","27","44","52","101","143","235","306","902","1231","1416","2065","2647","3364","4189","5108","5889","6854","7612","","",
"New Zealand","NZL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2","1","3","4","8","13","10","10","15","18","20","","",
"High income: OECD","OEC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46337","40199","32013","62351","73537","51594","34308","25225","17499","7774","9179","8819","31500","29178","21019","29265","26739","12854","11293","10377","10199","11112","11746","","",
"OECD members","OED","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57612","51384","46095","84135","107129","99169","88265","75900","64776","45985","58143","58456","230420","219323","200097","205658","260394","243751","233447","164736","165247","159601","156640","","",
"Oman","OMN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","10","10","10","11","2","5","5","19","11","16","12","38","43","56","64","63","60","65","","",
"Other small states","OSS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5617","14879","80692","90866","127437","124656","126780","118760","120896","276600","237676","188975","145034","108496","109781","112002","113301","116107","111422","97257","84368","68233","52889","","",
"Pakistan","PAK","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","486","525","1086","1422","4430","5277","7502","5985","6864","3898","10133","12324","23167","24389","25949","29913","25639","31858","32403","35132","39982","35952","49785","","",
"Panama","PAN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","629","640","652","677","486","160","149","122","85","19","67","37","44","30","40","42","75","109","111","105","100","100","107","","",
"Peru","PER","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256","475","727","1970","4332","5904","6696","6610","7066","6382","6944","6502","6397","5581","4769","4865","6986","7743","7339","6271","5834","5491","5212","","",
"Philippines","PHL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","15","46","113","436","516","598","525","45598","45454","45482","45467","45609","412","434","465","886","1552","1354","993","970","952","986","","",
"Palau","PLW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","0","0","0","0","","",
"Papua New Guinea","PNG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2008","808","220","1","8","8","16","18","18","23","31","36","46","70","89","128","174","","",
"Poland","POL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25632","21643","14518","13390","35938","19732","12869","7294","1880","1802","865","3191","16712","15211","10677","19641","13513","2915","2391","2059","1764","1815","1640","","",
"Puerto Rico","PRI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","","","","","","","","","","","","","0","0","0","0","","",
"Korea, Dem. Rep.","PRK","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","7","11","1","9","11","13","19","259","304","343","288","398","605","886","881","917","1052","1132","","",
"Portugal","PRT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","217","213","18","13","23","17","62","55","47","74","25","32","36","31","30","28","32","","",
"Paraguay","PRY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","8","9","14","63","51","44","20","21","5","19","8","31","32","37","44","105","102","101","77","86","91","101","","",
"Pacific island small states","PSS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","19","89","157","259","345","367","341","312","442","778","1140","1178","1382","1443","1777","1924","1972","1996","1967","1697","1429","","",
"French Polynesia","PYF","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","","0","0","0","0","","",
"Qatar","QAT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","30","18","19","23","2","1","0","8","13","10","11","52","62","71","68","112","95","124","","",
"Romania","ROU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51282","27177","25118","23572","22278","16978","11871","8951","10921","5760","7348","6052","8846","8387","6045","11502","7234","5306","4756","4358","3934","3428","2807","","",
"Russian Federation","RUS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117736","155576","213802","243312","251393","207034","173723","198063","172730","25676","40310","45156","91611","96420","108100","103037","159382","93224","103061","109455","111948","109785","110588","","",
"Rwanda","RWA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361322","431240","434736","450462","2257573","1819366","469136","68003","77743","86647","119056","84513","75251","75263","63308","100264","92966","80964","72530","129109","114836","106833","97373","","",
"South Asia","SAS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6548528","6526699","4811737","3611828","3012792","2958743","2963692","2966999","2909068","2785478","3847613","4072784","2800016","2406923","2680227","2436405","2386474","3367196","3142120","3192116","3344561","2928157","2842313","","",
"Saudi Arabia","SAU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","183","260","242","358","362","38","77","35","212","236","214","151","617","753","712","633","667","745","818","","",
"Sudan","SDN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","523998","196242","267767","393871","405135","445280","475305","364589","390013","478516","494363","489950","508871","606242","730647","693632","686311","523032","419248","368195","387288","500014","568943","","",
"Senegal","SEN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60006","25138","15466","22601","25622","17592","17631","17163","9716","11512","11088","8559","12069","8351","8332","8671","15163","15896","16006","16305","16267","17722","18724","","",
"Singapore","SGP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","9","9","19","22","23","12","22","16","39","35","36","39","111","116","109","80","76","67","68","","",
"Solomon Islands","SLB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","34","","34","42","54","60","61","27","38","48","52","66","75","72","61","","",
"Sierra Leone","SLE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","142614","253592","311183","275302","379495","375104","329327","406077","488869","402807","179113","141472","70580","41797","40477","42862","32127","32536","15417","11275","8002","6202","","",
"El Salvador","SLV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30019","33049","30855","26124","30735","23535","19639","17126","12591","11790","7756","7150","6632","5658","4497","4281","6388","6022","5151","5051","4976","6720","8171","","",
"San Marino","SMR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","","3","1","1","1","2","2","1","1","2","1","1","","",
"Somalia","SOM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470174","732594","812195","574617","631426","638698","636985","608094","557959","481904","475655","440134","432254","402336","389304","395553","464252","457356","561155","678309","770154","1077048","1136719","","",
"Serbia","SRB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174027","165643","185935","195626","183289","161671","157929","","",
"Sub-Saharan Africa (developing only)","SSA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5746983","5169291","5425988","6325995","6728084","5624425","4354376","3541102","3413742","3535700","3768753","3464247","3524621","3311922","3219438","3095936","3039694","2747746","2627734","2665799","2809466","3371662","3535187","","",
"South Sudan","SSD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","87009","","",
"Sub-Saharan Africa (all income levels)","SSF","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5746983","5169351","5426102","6326209","6728426","5624768","4354773","3541575","3414162","3536125","3769262","3464776","3525173","3312513","3219990","3096413","3040155","2748153","2628118","2666143","2809771","3371920","3535415","","",
"Small states","SST","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12245","20807","83260","91856","128622","125844","128000","119903","121880","277009","238656","190224","146696","110362","112164","115053","117376","121072","116714","102816","90207","74506","59473","","",
"Sao Tome and Principe","STP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","30","36","49","43","42","29","25","23","39","42","39","24","32","33","35","33","33","33","32","","",
"Suriname","SUR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6620","5921","2545","893","915","817","754","663","491","42","334","237","103","70","51","29","66","63","50","45","25","20","15","","",
"Slovak Republic","SVK","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","26","57","70","143","118","220","191","595","667","619","791","741","342","331","334","158","269","239","","",
"Slovenia","SVN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28429","14829","12860","3368","3414","3302","3227","3284","765","858","610","582","155","1760","52","52","39","38","32","34","","",
"Sweden","SWE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","25","38","40","41","1","18","5","28","32","29","75","16","16","15","19","25","24","20","","",
"Swaziland","SWZ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","13","15","17","20","30","1","16","15","19","5","14","13","22","25","32","32","36","43","65","","",
"Sint Maarten (Dutch part)","SXM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","69","54","28","553","339","138","33","39","3","23","13","44","38","44","40","61","55","53","49","49","42","29","","",
"Syrian Arab Republic","SYR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2148","3037","4408","5404","7087","7994","8609","8653","8126","4645","5871","4869","18898","20819","21440","16401","12338","13690","15211","17914","18452","19931","729022","","",
